doi,title,authors,editors,year,publication_date,journal_name,publisher,work_type,language,is_open_access,abstract,subjects,source_url,citation_count,relation,source_db,relevance_score
10.2307/j.ctv8d5tnj,Maurice Blanchot,Christophe Bident,,2018,,,Fordham University Press,monograph,,False,,,https://doi.org/10.2307/j.ctv8d5tnj,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9780823281787', 'asserted-by': 'object'}]}",Crossref,110
10.2307/jj.35049937,Maurice Blanchot,MARTY HIATT,,2025,,,State University of New York Press,monograph,,False,,,https://doi.org/10.2307/jj.35049937,0.0,,Crossref,110
10.5040/9781350105324.ch-007,MAURICE BLANCHOT,,,2020,,Hope,Bloomsbury Academic,book-chapter,,False,,,https://doi.org/10.5040/9781350105324.ch-007,0.0,,Crossref,110
10.2307/3685569,Blanchot: Extreme Contemporary,Stuart Kendall | Leslie Hill,,2000,2000-01-01,SubStance,,article,en,False,"Blanchot provides a compelling insight into one of the key figures in the development of postmodern thought. Although Blanchot's work is characterised by a fragmentary and complex style, Leslie Hill introduces clearly and accessibly the key themes in his work. He shows how Blanchot questions the very existence of philosophy and literature and how we may distinguish between them, stresses the importance of his political writings and the relationship between writing and history that characterised Blanchot's later work; and considers the relationship between Blanchot and key figures such as Emmanuel Levinas and Georges Bataille and how this impacted on his work. Placing Blanchot at the centre stage of writing in the twentieth century, Blanchot also sheds new light on Blanchot's political activities before and after the Second World War. This accessible introduction to Blanchot's thought also includes one of the most comprehensive bibliographies of his writings of the last twenty years.",Ancient history | Art | Computer science | Computer security | Epistemology | History | Key (lock) | Law | Literature | Philosophy | Physics | Political science | Politics | Post war | Postmodernism | Style (visual arts) | Thermodynamics | Work (physics),https://openalex.org/W2005118297,56.0,,OpenAlex,109
10.2307/3685423,Blanchot: Extreme Contemporary,Steven Jaron | Leslie Hill,,1999,1999-01-01,SubStance,,article,en,False,,History,https://openalex.org/W4292793485,50.0,,OpenAlex,107
10.2307/3735658,Blanchot: Extreme Contemporary,Michael Holland | Leslie Hill,,2002,2002-01-01,The Modern Language Review,,article,en,False,,History,https://openalex.org/W2330922818,30.0,,OpenAlex,107
10.5749/9780816686186-002,Introduction,Steven Ungar,,2010,,Scandal And Aftereffect,University of Minnesota Press,book-chapter,,False,,,https://doi.org/10.5749/9780816686186-002,0.0,,Crossref,100
10.5422/fordham/9780823264575.003.0001,Introduction,Philippe Lacoue-Labarthe | Hannes Opelz,,2015,,Ending and Unending Agony,Fordham University Press,book-chapter,,False,,,https://doi.org/10.5422/fordham/9780823264575.003.0001,0.0,,Crossref,100
10.2307/jj.18473031.4,Introduction,,,2024,,Reading at the Limits of Poetic Form,Northwestern University Press,book-chapter,,False,,,https://doi.org/10.2307/jj.18473031.4,0.0,,Crossref,100
10.5749/9780816683765-002,Introduction,Verena Andermatt Conley,,2010,,Readings,University of Minnesota Press,book-chapter,,False,,,https://doi.org/10.5749/9780816683765-002,0.0,,Crossref,100
10.5749/9780816655670-002,Introduction,Allan Stoekl,,2010,,"Politics, Writing, Mutilation",University of Minnesota Press,book-chapter,,False,,,https://doi.org/10.5749/9780816655670-002,0.0,,Crossref,100
10.5040/9781350349087.0007,Introduction,,,2023,,Maurice Blanchot on Poetry and Narrative,Bloomsbury Academic,book-chapter,,False,,,https://doi.org/10.5040/9781350349087.0007,0.0,,Crossref,100
10.1515/9780823264605-002,Introduction,Aristide Bianchi | Leonid Kharlamov,,2020,,Ending and Unending Agony,Fordham University Press,book-chapter,,False,,,https://doi.org/10.1515/9780823264605-002,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/j.ctt1657v2v.4', 'asserted-by': 'subject'}]}",Crossref,100
10.1515/9780823254712-003,Introduction,,,2020,,The Imperative to Write,Fordham University Press,book-chapter,,False,,,https://doi.org/10.1515/9780823254712-003,0.0,,Crossref,100
10.1515/9781438489018-003,Introduction,,,2022,,The Writing of Innocence,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438489018-003,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18252769.5', 'asserted-by': 'object'}]}",Crossref,100
10.1515/9781438423081-003,Introduction,,,1999,,Radical Passivity,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438423081-003,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18254837.5', 'asserted-by': 'subject'}]}",Crossref,100
10.1515/9798855804508-004,Introduction,,,2025,,Maurice Blanchot,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9798855804508-004,0.0,,Crossref,100
10.1515/9781474499644-002,Introduction,,,2023,,"Blanchot, Ecology and Contemporary Fiction",Edinburgh University Press,book-chapter,,False,,,https://doi.org/10.1515/9781474499644-002,0.0,,Crossref,100
10.1515/9781438478197-002,Introduction,,,2020,,Time in Exile,SUNY Press,book-chapter,,False,,,https://doi.org/10.1515/9781438478197-002,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.2307/jj.18252903.4', 'asserted-by': 'object'}]}",Crossref,100
10.2307/j.ctt1657v2v.4,Introduction,Aristide Bianchi | Leonid Kharlamov,,2015,,Ending and Unending Agony,Fordham University Press,book-chapter,,False,,,https://doi.org/10.2307/j.ctt1657v2v.4,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9780823264605-002', 'asserted-by': 'object'}]}",Crossref,100
10.2307/jj.35049937.6,Introduction,,,2025,,Maurice Blanchot,State University of New York Press,book-chapter,,False,,,https://doi.org/10.2307/jj.35049937.6,0.0,,Crossref,100
10.2307/jj.18254837.5,Introduction,,,1999,,Radical Passivity,State University of New York Press,book-chapter,,False,,,https://doi.org/10.2307/jj.18254837.5,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9781438423081-003', 'asserted-by': 'object'}]}",Crossref,100
10.2307/jj.18252903.4,Introduction,,,2020,,Time in Exile,State University of New York Press,book-chapter,,False,,,https://doi.org/10.2307/jj.18252903.4,0.0,"{'is-identical-to': [{'id-type': 'doi', 'id': '10.1515/9781438478197-002', 'asserted-by': 'subject'}]}",Crossref,100
10.5860/choice.42-3816,The Power of contestation: perspectives on Maurice Blanchot,,,2005,2005-03-01,Choice Reviews Online,,article,en,False,"One of the first French intellectuals to take systematic interest in questions of language and meaning, Maurice Blanchot (1907-2003) substantially influenced such thinkers as Deleuze, Foucault, Barthes, Levinas, and Derrida. Until recently, Blanchot's work remained largely unknown outside France, in part because of its complexity and in part because Blanchot shunned intellectual celebrity. Over the past decade, however, nearly all of Blanchot's books have been translated into English, and worldwide interest in his fiction, cultural criticism, and philosophy has increased dramatically. Kevin Hart and Geoffrey H. Hartman bring together essays by prominent scholars from range of disciplines to focus on Blanchot's diverse concerns: literature, art, community, politics, ethics, spirituality, and the Holocaust. The volume takes its title from Blanchot's idea that literature is a power of contestation: contestation of the established power, contestation of what is..., contestation of language and of the forms of literary language, finally contestation of itself as power. Tracing this concept as central theme of Blanchot's writings, and exploring its scope and ambiguity, the contributors bring this seminal, but formidably difficult, intellect into sharper focus. Contributors: Gerald L. Bruns, University of Notre Dame; Leslie Hill, University of Warwick; Michael Holland, St Hugh's College, Oxford; Philippe Lacoue-Labarthe, University of Strasbourg; Vivian Liska, University of Antwerp; Jill Robbins, Emory University, and the editors.",History | Philosophy | Physics | Power (physics) | Quantum mechanics,https://openalex.org/W251026339,13.0,,OpenAlex,19
10.1080/13534640600624986,There is Language: Speech and Writing in Blanchot,Lars Iyer,,2006,2006-04-01,Parallax,,article,en,False,"Click to increase image sizeClick to decrease image size Notes 1. Paul Davies, ‘An Exemplary Beginning’ in Orpheus Looking Back: A Celebration of Maurice Blanchot (Bracknell: South Hill Park Trust, 1997), pp. 3–5, p. 3. See, on the image in Blanchot, Thomas Carl Walls's Radical Passivity: Levinas, Blanchot and Agamben (Albany: State University of New York Press, 1999). 2. See William Large's paper ‘Impersonal Existence: A Conceptual Genealogy of the There Is from Heidegger to Blanchot and Levinas’, Angelaki, 7 (2002), pp. 131–141. 3. This is Levinas's allusion – in Time and the Other, this river is the one in which ‘the very fixity of unity, the form of every existent, cannot be constituted’ Emmanuel Levinas, Time and the Other, trans. Richard A. Cohen (Pittsburgh: Duquesne University Press, 1996), p. 49. 4. I do not have space here for an extended discussion of the relationship between the neuter in Levinas and Blanchot. As Derrida writes, commenting on the same remark in the context of his discussion of Totality and Infinity: ‘since the thought of the Neuter, as it continues to be elaborated in the work of Blanchot, can in no way be reduced to what Levinas means here by the Neuter, an enormous and abyssal task remains open’, Jacques Derrida, Adieu: To Emmanuel Levinas, trans. Pascale‐Anne Brault and Michael B. Naas (Stanford: Stanford University Press, 1999), p. 140. 5. Blanchot is of course hesitant about the word ethics. I use the ethical here in the broad sense to indicate the importance to Blanchot of the relation to the Other. 6. Maurice Blanchot, The Space of Literature, trans. Ann Smock (Lincoln and London: University of Nebraska Press, 1982) p. 257; L'Espace littéraire (Paris: Gallimard, 1955), p. 345–6. 7. Maurice Blanchot, The Space of Literature, p. 258; L'Espace littéraire, p. 347. 8. Robert Antelme, The Human Race, trans. Jeffrey Haight and Annie Mahler (Evanston: The Marlboro Press/ Northwestern, 1992), p. 172. 9. Maurice Blanchot, ‘In the Night that is Watched Over’ in On Robert Antelme's The Human Race: Essays and Commentary, ed. by Daniel Dobbels, trans. Jeffrey Haight (Evanston: The Marlboro Press/ Northwestern University Press, 2003), pp. 55–60, p. 56. ‘Dans la nuit surveillée’ appeared originally in Lignes, 21, (1994), pp. 127–31, alongside two extracts from Robert Antelme's The Human Race. 10. Maurice Blanchot, The Space of Literature, p. 258; L'Espace littéraire, p. 347. These lines uncannily prefigure Blanchot's ‘The Human Race’, his review of The Human Race as it was republished in The Infinite Conversation. 11. Maurice Blanchot, The Infinite Conversation, trans. Susan Hanson (Minneapolis and London: University of Minnesota Press, 1993), p. 215; L'Entretien infini (Paris: Gallimard, 1969), p. 320. 12. Maurice Blanchot, Friendship, trans. Elizabeth Rottenberg (Stanford: Stanford University Press, 1997), p. 218; L'Amitié (Paris: Gallimard, 1971), p. 247. Dupin's remarks are considered in a short meditation by Blanchot called ‘Presence’, which, under the general heading ‘Traces’, accompanies reflections on Laporte and Jabès. This essay was published in La Nouvelle Revue Française, 133 (1964), pp. 90–103. 13. Maurice Blanchot, Friendship, p. 219; L'Amitié, p. 249. It is a claim we find at several points in the conversations of The Infinite Conversation: ‘Only man is absolutely foreign to me; he alone is the unknown, he alone the other, and in this he would be presence: such is man [....] Each time we project strangeness onto a non‐human being or refer the movement of the unknown back to the universe, we disburden ourselves of the weight of man’, pp. 59–60; ‘Perhaps, also, it is time to withdraw this term autrui, while retaining what it has to say to us: that the Other is always what calls upon “man” (even if only to put him between parentheses or between quotation marks), not the other as God or other as nature, but as “man”, more Other than all that is other’, p. 72. ‘[E]very notion of alterity already implies man as other, and not the inverse’, p. 72. 14. Maurice Blanchot, Friendship, p. 217; L'Amitié, p. 246. 15. Emmanuel Levinas, Otherwise than Being or Beyond Essence, trans. Alphonso Lingis (The Hague, Martinus Nijhoff, 1981), p. 170. 16. Maurice Blanchot, The Infinite Conversation, p. 379; L'Entretien infini, p. 556. This sentence is Blanchot's rendering of one from chapter 18 of The Castle, ‘wer kann dafür, daß gerade diese Grenze auch sonst bedeutungsvoll ist’, Kafka, Gesammelte Werke, Vol. 4 (Frankfurt: Fische, 1994), p. 326. The two essays on Kafka in The Infinite Conversation, ‘The Narrative Voice’ and ‘The Wooden Bridge’ were originally published in reverse order as ‘Le pont de bois’, La Nouvelle Revue Française 133, (1964), pp. 90–103 and ‘La voix narrative’, La Nouvelle Revue Française 142, (1964), pp. 674–685. See Leslie Hill's reflections on Blanchot's reading of Kafka, especially as it relates to saying, in Writing at the Limit: Bataille, Klossowski, Blanchot (Oxford: Oxford University, 2001), pp. 219–221. 17. Maurice Blanchot, The Infinite Conversation, pp. 384–385; L'Entretien infini, p. 564. 18. Maurice Blanchot, The Infinite Conversation, p. 212; L'Entretien infini, p. 314. I quote from ‘The Play of Thought’, originally published as ‘Le jeu de la pensée’, Critique 195–96, pp. 734–41 and published alongside another essay on Bataille from the previous year in The Infinite Conversation. 19. Emmanuel Levinas, Collected Philosophical Papers, trans. Alphonso Lingis (Duquesne University Press, 1998), p. 39. 20. Maurice Blanchot, The Infinite Conversation, p. 304; L'Entretien infini, p. 448. 21. Thanks to Nikolai Duffy for this point.",Allusion | Archaeology | Art | Art history | Context (archaeology) | History | Linguistics | Literature | Philosophy | Theology,https://openalex.org/W2025665514,2.0,,OpenAlex,18
10.1080/13534640600624911,Forgetfulness Must: Politics and Filiation in Blanchot and Derrida,Simon Critchley,,2006,2006-04-01,Parallax,,article,en,False,"Click to increase image sizeClick to decrease image size Notes This is the text of a talk given at a conference on 'Politics and Filiation', held at the Manhattan Campus of the State University of New York Stonybrook in November 2002 and sponsored by the College International de Philosophie in Paris. The respondent was Jacques Derrida. It builds on analyses of Blanchot, Derrida and Levinas given in my earlier work, see in particular the final chapter of Ethics‐Politics‐Subjectivity (London and New York, Verso, 1999). 1. Jacques Derrida, Politiques de l'amitié (Paris: Galilée, 1994). For references to Blanchot, see pp. 55, 56–57, 73, 89, 100, 219, 234, 295/46, 46–47, 55, 70, 82, 194, 207 and 264. 2. See Jacques Derrida, 'The Politics of Friendship', The Journal of Philosophy, 85:11 (November 1988), pp. 632–644 (pp. 643–44). These passages are an abbreviated version of some of the closing pages of Chapter 10 of Politiques de l'amitié, cf. pp. 322–29, The Politics of Friendship, trans. George Collins (London: Verso, 1997), pp. 290–96. 3. Dionys Mascolo, A la recherche d'un communisme de pensée (Paris: Editions Fourbis, 1993); and Maurice Blanchot, Pour l'amitié (Paris: Editions Fourbis, 1996). Translations are my own. 4. Maurice Blanchot, Pour l'amitié, pp. 31–34. 5. Immanuel Kant, Metaphysik der Sitten, Part II, pp. 46–47. 6. J. Hoffmeister, Wörterbuch der philosophischen Begriffe (Hamburg: Philosophische Bibliothek, 1955), p. 238; and Historisches Wörterbuch der Philosophie, Band 4, p. 683. See also in this regard a helpful article by Erich Heintel, 'Vom Sinn der Freundschaft', in Von der Notwendigkeit der Philosophie in der Gegenwart, ed. H. Kohlenberger and W. Lütterfelds (Vienna: Oldenbourg, 1976), pp. 190–221; see especially pp. 192–93 and 199–200. 7. Jacques Derrida, Politiques de l'amitié, p. 316/ p. 284. Nietzsche's words are also cited towards the end of the original English version of 'The Politics of Friendship', p. 643. 8. It would be necessary to read Blanchot's remarks on 1968 together with La Communauté inavouable (Paris: Minuit, 1983), a text itself mentioned by Derrida in a series of footnotes to Politiques de l'amitié, pp. 56–57, 89/ p. 46–47 and 70; and see especially p. 337, fn.1./ p. 304, n.32. 9. Maurice Blanchot, Pour l'amitié, p. 31. 10. Maurice Blanchot, Pour l'amitié, p. 9. 11. Jacques Derrida, Politiques de l'amitié, p. 14/ p.x. 12. Jacques Derrida, Politiques de l'amitié, p. 328/ p. 295. 13. Jacques Derrida, Politiques de l'amitié, p. 324/ p. 291. 14. 'Mourning and Melancholia', On Metapsychology: The Theory of Psychoanalysis, Penguin Freud Library, ed. and trans. James Strachey, 20 vols (Harmondsworth: Penguin, 1984), XI, p. 267. 15. Maurice Blanchot, L'amitié (Paris: Gallimard, 1971), p. 330. 16. Jacques Derrida, Politiques de l'amitié, p. 328/ p. 295. 17. Maurice Blanchot, Pour l'amitié, pp. 33–34. 18. Jacques Derrida, Politiques de l'amitié, p. 322/ p. 290. 19. Maurice Blanchot, Pour L'amitié, p. 34. 20. Maurice Blanchot, Pour L'amitié, p. 33. 21. Maurice Blanchot, Pour L'amitié p. 35. 22. On this question, see above Chapters 8 and 9. 23. Jacques Derrida, Adieu à Emmanuel Levinas (Paris: Galilée, 1997), p. 52, n.2 24. Jacques Derrida, Politiques de l'amitié, p. 87. 25. Jacques Derrida, Politiques de l'amitié, p. 88/ 69. 26. Maurice Blanchot, L'entretien infini (Paris: Gallimard, 1969), pp. 70–105. 27. Maurice Blanchot, L'entretien infini, pp. 100–101. 28. See Emmanuel Levinas, Totalité et Infini (The Hague: Nijhoff, 1961), p. 62; Totality and Infinity, trans. Alphonso Lingis (Pittsburgh: Duquesne University Press, 1969), p. 89. Cited in Jacques Derrida, Spectres de Marx (Paris, Galilée, 1993), p. 48. See also 'The Force of Law: The 'Mystical Foundation of Authority'', in D. Cornell, M. Rosenfeld and D. G. Carlson, eds, Deconstruction and the Possibility of Justice (London and New York: Routledge, 1992), p. 22. 29. I refer to Hent De Vries's paper given at a conference on Politiques de l'amitié held in Tilburg in 1997. 30. For the Derrida quote, see 'The Politics of Friendship', p. 643. Derrida uses the same formulation to describe Blanchot in Politiques de l'amitié, pp. 322/290. 31. Maurice Blanchot, 'L'amitié', in L'amitié, p. 328; Jacques Derrida, Politiques de l'amitié, p. 327/ 294. 32. Maurice Blanchot, 'L'amitié', p. 328. 33. Maurice Blanchot, 'L'amitié', p. 329. 34. Maurice Blanchot, 'L'amitie', p. 329.",Art | Art history | Friendship | Humanities | Law | Philosophy | Political science | Politics | Religious studies | Social science | Sociology,https://openalex.org/W2059524881,3.0,,OpenAlex,18
10.3366/para.2005.28.3.54,Revisiting the <i>Il y a</i>: Maurice Blanchot and Emmanuel Levinas on the Question of Subjectivity,Arthur Cools,,2005,2005-11-01,Paragraph,Edinburgh University Press,article,en,False,"The il y a is the site of an important encounter between the works of Emmanuel Levinas and Maurice Blanchot. Shortly after World War II, Levinas introduced the concept of il y a as a critique of Heidegger’s notion of ‘es gibt’ and in direct reference to Blanchot’s first novel, Thomas l’Obscur.1 In Literature and the Right to Death (1947), Blanchot acknowledged the importance of this notion in a footnote dedicated to Levinas’s publication of De l’existence a l’existant.2 For both of them, contrary to the Heideggerian understanding of being related to the fear of death, the il y a expresses the ‘simple facticity of being riveted to existence without an exit’, as Simon Critchley summarizes in his book on literature and philosophy.3 More recently, William Large has shown how the concept of the il y a derives from the renewal of ontology in Heidegger’s Being and Time by pointing to the impersonal characteristic of moods as implied in the description of the il y a.4 Nevertheless, from the start the il y a is also the site of an important difference between Blanchot and Levinas that is not fully expressed by the cross-references of the two authors. Blanchot already mentioned the il y a in his short novel, The last Word, written in the thirties at a time when he was exploring the essence of literature in the political and literary articles published in Combat and L’insurge as well as in Thomas l’Obscur:",Art | Epistemology | Facticity | Law | Literature | Ontology | Philosophy | Political science | Politics | Psychoanalysis | Psychology | Subjectivity,https://openalex.org/W2035528043,13.0,,"Crossref, OpenAlex",17
10.3366/para.2016.0194,"From Deconstruction to Disaster (Derrida, Blanchot, Hegel)",Leslie Hill,,2016,2016-06-28,Paragraph,Edinburgh University Press,article,en,False,"Derrida's Glas (1974) found one of its most attentive readers in Maurice Blanchot, whose fragmentary volume L'Ecriture du désastre (The Writing of the Disaster) (1980) responds in a number of ways to Derrida's book, in particular to its reading of Hegel. This article retraces the silent dialogue between Derrida and Blanchot as it unfolds in the two texts mentioned as well as in several others, including some of Blanchot's earlier essays and fiction, notably La Folie du jour (The Madness of the Day) and L'Arrêt de mort (Death Sentence).",Art | Biology | Deconstruction (building) | Ecology | Epistemology | Hegelianism | Linguistics | Literature | Philosophy | Psychoanalysis | Psychology | Reading (process) | Sentence,https://openalex.org/W2469484612,4.0,,"Crossref, OpenAlex",16
